,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0.1,3.0,0.1,0.1,4.9,0.1,0.1,7.5,0.1,0.1,8.8,0.1,0.2,10.4,0.2,0.2,13.6,0.2,0.3,17.2,0.3,0.3,20.5,0.3,0.4,23.8,0.4,0.5,27.5,0.5,0.5,30.7,0.5,0.6,34.1,0.6,0.6,35.7,0.6,0.6,36.2,0.6,0.6,35.2,0.6,0.5,31.5,0.5,0.5,28.3,0.5,0.4,23.9,0.4,0.3,20.1,0.3,0.3,16.0,0.3,0.2,12.7,0.2,0.2,9.1,0.2
Bahamas,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.7,0.5,0.7,0.6,0.6,0.6,0.0,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Bahrain,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.3,16.5,0.3,0.3,15.3,0.3,0.3,18.2,0.3,0.3,16.2,0.3,0.3,16.4,0.3,0.3,16.6,0.3,0.3,17.5,0.3,0.3,17.6,0.3,0.3,17.8,0.3,0.3,16.4,0.3,0.3,17.4,0.3,0.3,16.9,0.3,0.3,18.0,0.3,0.3,16.7,0.3,0.3,16.1,0.3,0.2,13.7,0.2,0.2,12.2,0.2,0.2,9.8,0.2,0.1,8.1,0.1,0.1,5.7,0.1,0.1,4.8,0.1,0.1,3.2,0.1
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.7,1.5,0.7,0.0,1.1,0.0,0.0,3.9,0.0,0.0,1.0,0.0
Belarus,0.3,16.8,0.3,0.3,16.6,0.3,0.3,15.4,0.3,0.2,13.1,0.2,0.2,9.3,0.2,0.2,10.0,0.2,0.2,9.6,0.2,0.2,9.1,0.2,0.1,7.3,0.1,0.1,7.0,0.1,0.1,7.5,0.1,0.1,5.3,0.1,0.1,3.7,0.1,0.0,2.7,0.0,0.0,2.2,0.0,0.0,1.3,0.0,0.0,2.2,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,2.8,0.0,0.0,1.9,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.3,0.0,0.9,2.9,0.9,0.2,0.0,0.2,0.0,4.7,0.0,0.0,4.3,0.0,0.0,6.0,0.0,0.0,5.9,0.0,0.0,10.1,0.0,0.0,0.0,0.0,1.3,1.3,1.3,0.0,2.3,0.0
